MSID;Название;Широта;Долгота;V10 по месяцам, январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;m по месяцам,январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;Среднее m;
144;Южно-Курильск;44;145,8;6,60;6,20;6,10;4,80;4,30;3,90;3,50;3,30;4,90;5,50;6,90;7,10;0,09;0,10;0,10;0,19;0,21;0,20;0,24;0,24;0,17;0,13;0,11;0,09;0,15
145;Южно-Сахалинск;46,9;142,7;8,30;3,50;3,30;3,00;3,00;2,70;2,40;2,30;2,20;2,30;2,90;3,10;0,08;0,27;0,25;0,33;0,33;0,29;0,34;0,33;0,35;0,38;0,28;0,30;0,27
106;Шимушир;46,8;151,9;12,50;13,00;10,30;9,20;7,90;6,40;5,50;5,60;6,40;6,70;8,40;9,70;-0,09;-0,05;-0,03;0,01;0,08;0,10;0,15;0,15;0,13;0,13;0,08;0,00;0,04
95;Поронайск;49,2;143,1;7,30;6,70;6,00;6,10;5,40;4,90;4,40;4,30;5,70;6,70;8,20;8,90;0,09;0,12;0,19;0,21;0,25;0,24;0,26;0,22;0,19;0,15;0,09;0,02;0,16
22;м.Васильева;50;155,4;8,30;7,20;7,20;6,60;4,90;3,90;3,40;2,50;4,00;4,70;6,10;7,00;0,02;0,01;-0,01;0,05;0,16;0,21;0,24;0,28;0,18;0,15;0,08;0,02;0,10
3;Александровск-на-Сахалине;50,9;142,2;5,50;4,70;4,60;4,50;3,80;3,00;2,60;3,00;5,10;5,80;6,80;6,00;0,10;0,16;0,18;0,24;0,29;0,32;0,37;0,34;0,21;0,17;0,10;0,10;0,20
105;Советская гавань;49;140,3;3,20;3,10;3,20;3,10;1,90;1,50;1,00;1,50;3,40;4,00;4,50;4,70;0,28;0,29;0,27;0,31;0,43;0,45;0,61;0,51;0,27;0,24;0,19;0,15;0,30
79;Николаевск-на-Амуре;53,2;140,7;3,60;3,00;2,90;3,40;3,40;2,60;2,50;1,70;2,90;3,30;4,00;4,00;0,37;0,41;0,36;0,27;0,25;0,32;0,31;0,45;0,34;0,33;0,30;0,31;0,33
10;Аян;56,5;138,1;2,70;2,70;2,20;3,00;3,30;3,10;2,70;2,10;2,40;2,70;3,20;3,20;0,35;0,35;0,38;0,29;0,24;0,22;0,28;0,35;0,43;0,31;0,32;0,38;0,33
129;Хабаровск;48,5;135,2;3,90;3,70;3,70;4,20;4,10;3,40;3,30;3,10;3,80;4,20;4,90;4,10;0,28;0,30;0,31;0,30;0,30;0,34;0,30;0,31;0,30;0,27;0,25;0,28;0,29
108;Сутур;50,1;132,1;0,30;0,50;0,80;1,30;1,00;0,70;0,60;0,50;0,80;0,90;0,60;0,30;0,97;0,82;0,69;0,59;0,71;0,81;0,88;0,93;0,77;0,71;0,81;1,03;0,78
119;Терней;45;136,7;9,60;7,40;5,20;3,80;3,00;2,60;2,20;2,40;3,80;4,90;6,00;7,20;0,10;0,16;0,18;0,24;0,24;0,27;0,29;0,28;0,25;0,21;0,16;0,19;0,19
